Word,Gender,WdNum,ValMn,ValSd,AroMn,AroSD,DomMN,DomSD,Frequency
abduction,All,621,2.76,2.06,5.53,2.43,3.49,2.38,1
abduction,Male,621,3.19,1.94,4.95,1.99,4.25,2.05,1
abduction,Female,621,2.33,2.13,6.09,2.72,2.76,2.49,1
abortion,All,622,3.5,2.3,5.39,2.8,4.59,2.54,6
abortion,Male,622,4.0,2.11,4.72,2.22,5.44,2.33,6
abortion,Female,622,3.15,2.39,5.85,3.09,4.0,2.55,6
absurd,All,623,4.26,1.82,4.36,2.2,4.73,1.72,17
absurd,Male,623,3.86,2.14,4.09,2.43,4.76,2.0,17
absurd,Female,623,4.7,1.3,4.65,1.93,4.7,1.42,17
abundance,All,624,6.59,2.01,5.51,2.63,5.8,2.16,13
abundance,Male,624,6.62,2.16,5.9,2.72,6.05,2.24,13
abundance,Female,624,6.55,1.9,5.1,2.53,5.55,2.11,13
abuse,All,1,1.8,1.23,6.83,2.7,3.69,2.94,18
abuse,Male,1,2.78,1.3,6.67,2.4,3.33,2.45,18
abuse,Female,1,1.46,1.03,6.88,2.83,3.81,3.12,18
acceptance,All,625,7.98,1.42,5.4,2.7,6.64,1.91,49
acceptance,Male,625,7.75,1.25,6.0,2.25,6.75,1.86,49
acceptance,Female,625,8.18,1.56,4.86,3.0,6.55,1.99,49
accident,All,2,2.05,1.19,6.26,2.87,3.76,2.22,33
accident,Male,2,2.0,1.06,5.94,3.27,3.53,2.15,33
accident,Female,2,2.08,1.29,6.48,2.62,3.92,2.29,33
ace,All,626,6.88,1.93,5.5,2.66,6.39,2.31,15
ace,Male,626,7.7,1.34,6.35,2.62,6.45,2.58,15
ace,Female,626,6.14,2.1,4.95,2.33,6.33,2.08,15
ache,All,627,2.46,1.52,5.0,2.45,3.54,1.73,4
ache,Male,627,3.0,1.76,5.26,2.28,3.89,1.82,4
ache,Female,627,2.0,1.11,4.77,2.62,3.23,1.63,4
achievement,All,3,7.89,1.38,5.53,2.81,6.56,2.35,65
achievement,Male,3,7.58,1.73,4.42,2.61,6.67,2.1,65
achievement,Female,3,8.0,1.24,5.97,2.8,6.52,2.47,65
activate,All,4,5.46,0.98,4.86,2.56,5.43,1.84,2
activate,Male,4,5.89,0.93,4.44,2.7,5.56,2.19,2
activate,Female,4,5.31,0.97,5.0,2.55,5.38,1.75,2
addict,All,581,2.48,2.08,5.66,2.26,3.72,2.54,1
addict,Male,581,2.84,2.53,5.64,2.56,3.76,2.59,1
addict,Female,581,2.12,1.48,5.68,1.95,3.68,2.54,1
addicted,All,628,2.51,1.42,4.81,2.46,3.46,2.23,3
addicted,Male,628,2.75,1.33,4.5,2.24,3.65,2.03,3
addicted,Female,628,2.29,1.49,5.09,2.67,3.29,2.43,3
admired,All,5,7.74,1.84,6.11,2.36,7.53,1.94,17
admired,Male,5,7.6,1.45,6.4,1.99,7.73,1.22,17
admired,Female,5,7.81,2.01,5.97,2.53,7.44,2.21,17
adorable,All,6,7.81,1.24,5.12,2.71,5.74,2.48,3
adorable,Male,6,7.35,1.37,5.38,2.39,5.31,2.27,3
adorable,Female,6,8.12,1.07,4.96,2.92,6.0,2.61,3
adult,All,546,6.49,1.5,4.76,1.95,5.75,2.21,25
adult,Male,546,6.48,1.53,4.72,2.25,5.92,1.85,25
adult,Female,546,6.5,1.5,4.81,1.65,5.58,2.53,25
advantage,All,629,6.95,1.85,4.76,2.18,6.36,2.23,73
advantage,Male,629,7.26,1.45,5.37,1.98,6.37,2.36,73
advantage,Female,629,6.72,2.11,4.48,2.1,6.35,2.17,73
adventure,All,630,7.6,1.5,6.98,2.15,6.46,1.67,14
adventure,Male,630,7.23,1.69,6.91,2.43,6.38,1.77,14
adventure,Female,630,8.0,1.17,7.05,1.85,6.55,1.61,14
affection,All,7,8.39,0.86,6.21,2.75,6.08,2.22,18
affection,Male,7,7.9,0.99,6.1,2.56,5.2,2.35,18
affection,Female,7,8.57,0.74,6.25,2.86,6.39,2.13,18
afraid,All,8,2.0,1.28,6.67,2.54,3.98,2.63,57
afraid,Male,8,2.42,1.56,6.67,2.35,5.25,3.08,57
afraid,Female,8,1.83,1.14,6.68,2.65,3.43,2.25,57
aggressive,All,9,5.1,1.68,5.83,2.33,5.59,2.4,17
aggressive,Male,9,5.58,1.31,6.17,2.48,6.5,1.68,17
aggressive,Female,9,4.89,1.79,5.68,2.29,5.21,2.57,17
agility,All,22,6.46,1.57,4.85,1.8,5.87,1.52,3
agility,Male,22,7.1,1.52,4.2,1.81,6.1,2.18,3
agility,Female,22,6.24,1.55,5.07,1.77,5.79,1.26,3
agony,All,10,2.43,2.17,6.06,2.67,4.02,2.49,9
agony,Male,10,2.47,2.29,5.47,2.77,4.6,2.16,9
agony,Female,10,2.41,2.15,6.34,2.62,3.75,2.62,9
agreement,All,631,7.08,1.59,5.02,2.24,6.22,1.85,106
agreement,Male,631,6.74,1.52,4.89,1.94,6.47,1.98,106
agreement,Female,631,7.38,1.63,5.14,2.51,6.0,1.75,106
air,All,632,6.34,1.56,4.12,2.3,5.1,1.56,257
air,Male,632,6.47,1.61,4.68,2.36,5.21,1.93,257
air,Female,632,6.23,1.54,3.64,2.19,5.0,1.2,257
alcoholic,All,582,2.84,2.34,5.69,2.36,4.45,2.56,3
alcoholic,Male,582,3.72,2.81,5.36,2.6,4.84,2.54,3
alcoholic,Female,582,2.0,1.36,6.0,2.12,4.08,2.56,3
