lexicon,label
2-faced,negative
2-faces,negative
abase,negative
abduction,negative
abetalipoproteinemia,negative
abhorrent,negative
abjuration,negative
abjure,negative
abnormal,negative
abnormality,negative
abolish,negative
abominable,negative
abominably,negative
abominate,negative
abomination,negative
abort,negative
aborted,negative
aborts,negative
aboulic,negative
abrade,negative
abrasive,negative
abreact,negative
abrupt,negative
abruptly,negative
abscond,negative
absence,negative
absent,negative
absent-minded,negative
absentee,negative
abstentious,negative
abstinent,negative
absurd,negative
absurdity,negative
absurdly,negative
absurdness,negative
abulic,negative
abuse,negative
abused,negative
abuses,negative
abusive,negative
abysmal,negative
abysmally,negative
abyss,negative
acacia cambegei,negative
academic,negative
accident,negative
accidental,negative
accidental injury,negative
accost,negative
accumulation,negative
accursed,negative
accusation,negative
accusations,negative
accuse,negative
accuses,negative
accusing,negative
accusingly,negative
acentric,negative
acerb,negative
acerbate,negative
acerbic,negative
acerbically,negative
ache,negative
ached,negative
aches,negative
achey,negative
aching,negative
achlamydeous,negative
achlorhydria,negative
achondritic,negative
achromasia,negative
achromia,negative
achy,negative
acid,negative
acidemia,negative
acne,negative
acold,negative
acrid,negative
acridity,negative
acridly,negative
acridness,negative
acrimonious,negative
acrimoniously,negative
acrimony,negative
acrophobic,negative
acute anterior poliomyelitis,negative
acute glossitis,negative
ad,negative
ad-lib,negative
adamant,negative
adamantine,negative
adamantly,negative
addict,negative
addicted,negative
addicting,negative
addiction,negative
addictive,negative
addicts,negative
addled,negative
adiabatic,negative
admonish,negative
admonisher,negative
admonishing,negative
admonishingly,negative
admonishment,negative
admonition,negative
admonitory,negative
ads,negative
adult education,negative
adult respiratory distress syndrome,negative
adulterate,negative
adulterated,negative
adulteration,negative
adulterier,negative
adulterous,negative
adventive,negative
adversarial,negative
adversary,negative
adverse,negative
adverse opinion,negative
adversity,negative
adynamic,negative
afflict,negative
affliction,negative
afflictive,negative
affront,negative
afraid,negative
afterthought,negative
against,negative
agamic,negative
agammaglobulinemia,negative
agamogenetic,negative
agamous,negative
aggravate,negative
aggravating,negative
aggravation,negative
aggression,negative
aggressive,negative
aggressiveness,negative
aggressor,negative
aggrieve,negative
aggrieved,negative
aggrivation,negative
aghast,negative
agonies,negative
agonise,negative
agonised,negative
agonize,negative
agonized,negative
agonizing,negative
agonizingly,negative
agony,negative
agoraphobic,negative
aground,negative
ail,negative
ailing,negative
ailment,negative
aimless,negative
air-dry,negative
air-tight,negative
airtight,negative
alalia,negative
alarm,negative
alarmed,negative
alarming,negative
alarmingly,negative
alas,negative
albinism,negative
alert,negative
alerted,negative
alerting,negative
alerts,negative
algolagnia,negative
algophilia,negative
algophobia,negative
algophobic,negative
alien,negative
alienate,negative
alienated,negative
alienating,negative
alienation,negative
aliquant,negative
aliquant part,negative
alizarin yellow,negative
all-purpose,negative
allegation,negative
allegations,negative
allege,negative
allergic,negative
allergies,negative
allergy,negative
alleviant,negative
alleviated,negative
alleviative,negative
alleviator,negative
alleviatory,negative
alley cat,negative
alloyed,negative
aloof,negative
alpine scurvy,negative
altercation,negative
alternative energy,negative
amalgamative,negative
amateur,negative
ambiguity,negative
ambiguous,negative
ambivalence,negative
ambivalent,negative
ambulate,negative
ambush,negative
amebiasis,negative
amebic dysentery,negative
amebiosis,negative
amenia,negative
amenorrhea,negative
amenorrhoea,negative
amethopterin,negative
amiss,negative
ammoniuria,negative
amoebiasis,negative
amoebic dysentery,negative
amoebiosis,negative
amorally,negative
amphibolips,negative
amputate,negative
amyloidosis,negative
anaerobe,negative
anaesthetic,negative
analgesia,negative
anarchism,negative
anarchist,negative
anarchistic,negative
anarchy,negative
anasarcous,negative
anatoxin,negative
anechoic,negative
anemic,negative
aneroid,negative
anesthetic,negative
anger,negative
angina,negative
angrily,negative
angriness,negative
angry,negative
anguish,negative
anguished,negative
anhedonia,negative
animadversion,negative
animadvert,negative
animalise,negative
animalize,negative
animosity,negative
anisotropic,negative
annihilate,negative
annihilation,negative
annoy,negative
annoyance,negative
annoyances,negative
annoyed,negative
annoying,negative
annoyingly,negative
annoys,negative
anomalous,negative
anomaly,negative
anorexia nervosa,negative
anosmia,negative
anovulation,negative
anoxia,negative
antagonism,negative
antagonist,negative
antagonistic,negative
antagonize,negative
anthrax,negative
anti-,negative
anti-american,negative
anti-crypto,negative
anti-israeli,negative
anti-occupation,negative
anti-proliferation,negative
anti-semites,negative
anti-semitic,negative
anti-social,negative
anti-us,negative
anti-white,negative
antifeminist,negative
antihaemophilic factor,negative
antihaemophilic globulin,negative
antihemophilic factor,negative
antihemophilic globulin,negative
antipathy,negative
antiphlogistic,negative
antiquated,negative
antisemitic,negative
antisocial,negative
antithetical,negative
antsy,negative
anurous,negative
anxieties,negative
anxiety,negative
anxious,negative
anxiously,negative
anxiousness,negative
aortitis,negative
apathetic,negative
apathetically,negative
apathy,negative
aperient,negative
aphakia,negative
aphasic,negative
aphonic,negative
apocalypse,negative
apocalyptic,negative
apocynum cannabinum,negative
apologetic,negative
apologise,negative
apologist,negative
apologists,negative
apologize,negative
apology,negative
apomictic,negative
apostate,negative
apotropaic,negative
appal,negative
appall,negative
appalled,negative
appalling,negative
appallingly,negative
appendicitis,negative
apple rust,negative
apprehension,negative
apprehensions,negative
apprehensive,negative
apprehensively,negative
apt,negative
apyretic tetanus,negative
aquaphobic,negative
arbitrary,negative
arcane,negative
archaic,negative
archness,negative
arctic,negative
ards,negative
arduous,negative
arduously,negative
are not,negative
arena theater,negative
argumentative,negative
armageddon,negative
arraign,negative
arrhythmic,negative
arrogance,negative
arrogant,negative
arrogantly,negative
arteritis,negative
article of faith,negative
articulated,negative
artificial,negative
artificially,negative
asexual,negative
ashamed,negative
asinine,negative
asininely,negative
asinininity,negative
askance,negative
asocial,negative
asperse,negative
aspersion,negative
aspersions,negative
asphyxia,negative
aspiration pneumonia,negative
assail,negative
assailable,negative
assassin,negative
assassinate,negative
assault,negative
asshole,negative
assimilating,negative
assimilative,negative
assimilatory,negative
assistant professor,negative
associative,negative
associatory,negative
assult,negative
astasia,negative
asternal,negative
asthmatic,negative
astigmatism,negative
astigmia,negative
astray,negative
asunder,negative
asymmetrical,negative
asynchronous,negative
asynergia,negative
asynergy,negative
asystole,negative
at variance,negative
ataxia,negative
ataxy,negative
atonement,negative
atoxic,negative
atrabilious,negative
atrocious,negative
atrociously,negative
atrociousness,negative
atrocities,negative
atrocity,negative
atrophy,negative
attack,negative
attacks,negative
attaint,negative
attributive genitive,negative
attributive genitive case,negative
atypical,negative
audacious,negative
audaciously,negative
audaciousness,negative
audacity,negative
audiciously,negative
augean,negative
augean stables,negative
austere,negative
authoritarian,negative
authoritarianism,negative
autistic,negative
autocrat,negative
autocratic,negative
automysophobia,negative
avalanche,negative
avarice,negative
avaricious,negative
avariciously,negative
avenge,negative
average,negative
average out,negative
averse,negative
aversion,negative
aversive,negative
avirulent,negative
aweful,negative
awful,negative
awfully,negative
awfulness,negative
awkward,negative
awkwardness,negative
awry,negative
ax,negative
axenic,negative
babble,negative
back-logged,negative
back-wood,negative
back-woods,negative
backache,negative
backaches,negative
backaching,negative
backbite,negative
backbiting,negative
backlog,negative
backward,negative
backwardness,negative
backwood,negative
backwoods,negative
bacon-lettuce-tomato sandwich,negative
bacteriological warfare,negative
bacteroides,negative
bad,negative
bad luck,negative
bad-mannered,negative
bad-tempered,negative
badly,negative
badness,negative
baffle,negative
baffled,negative
bafflement,negative
baffling,negative
bait,negative
balancer,negative
bald,negative
baleful,negative
balk,negative
ball up,negative
balminess,negative
ban,negative
banal,negative
banalize,negative
bane,negative
baneful,negative
bang up,negative
banish,negative
banishment,negative
bank failure,negative
bankrupt,negative
bankruptcy,negative
barbarian,negative
barbaric,negative
barbarically,negative
barbarity,negative
barbarous,negative
barbarously,negative
barbarousness,negative
bare,negative
barren,negative
base,negative
baseborn,negative
baseless,negative
bash,negative
bashed,negative
bashful,negative
bashing,negative
bastard,negative
bastards,negative
battered,negative
battering,negative
batty,negative
bawl out,negative
bawling out,negative
be amiss,negative
beakless,negative
bear market,negative
bear's foot,negative
bearable,negative
bearish,negative
beastliness,negative
beastly,negative
beat-up,negative
beaten-up,negative
bedlam,negative
bedlamite,negative
bedraggled,negative
beetle-browed,negative
befoul,negative
befouled,negative
beg,negative
beggar,negative
beggarly,negative
begging,negative
begrime,negative
begrimed,negative
begrudge,negative
beguile,negative
beguiled,negative
belabor,negative
belated,negative
beleaguer,negative
belie,negative
belittle,negative
belittled,negative
belittling,negative
bellicose,negative
belligerence,negative
belligerent,negative
belligerently,negative
bellyful,negative
below the belt,negative
bemire,negative
bemoan,negative
bemoaning,negative
bemused,negative
bent,negative
berate,negative
berating,negative
bereave,negative
bereaved,negative
bereavement,negative
bereft,negative
berserk,negative
beseech,negative
beset,negative
besiege,negative
besmirch,negative
bestial,negative
betray,negative
betrayal,negative
betrayals,negative
betrayer,negative
betraying,negative
betrays,negative
bewail,negative
beware,negative
bewilder,negative
bewildered,negative
bewildering,negative
bewilderingly,negative
bewilderment,negative
bewitch,negative
bextra,negative
bi-partisan,negative
bias,negative
biased,negative
biases,negative
bicker,negative
bickering,negative
bid-rigging,negative
bigheaded,negative
bigotries,negative
bigotry,negative
bilious,negative
biliousness,negative
billingsgate,negative
bipartisan,negative
bipolar disorder,negative
bitch,negative
bitchiness,negative
bitchy,negative
bite,negative
biting,negative
bitingly,negative
bitter,negative
bitter end,negative
bitterly,negative
bitterness,negative
bittersweet,negative
bizarre,negative
blab,negative
blabber,negative
black,negative
black and white,negative
black bile,negative
black diamond,negative
black operation,negative
black-and-white,negative
blackball,negative
blackguard,negative
blackmail,negative
blackwater fever,negative
blah,negative
blain,negative
blamable,negative
blame,negative
blameable,negative
blameful,negative
blameworthy,negative
bland,negative
blandish,negative
blank,negative
blank out,negative
blanketed,negative
blaspheme,negative
blasphemous,negative
blasphemy,negative
blasted,negative
blasting,negative
blatant,negative
blatantly,negative
blather,negative
blase,negative
bleak,negative
