word,pos,scores
mega-success,adjective,5
priceless,adjective,5
exquisite,adjective,5
fascinating,adjective,5
phenomenal,adjective,5
top-notch,adjective,5
top-quality,adjective,5
top-rate,adjective,5
adorable,adjective,5
all-star,adjective,5
amazing,adjective,5
angelic,adjective,5
award-winning,adjective,5
awesome,adjective,5
best,adjective,5
best-drawn,adjective,5
best-handling,adjective,5
bestselling,adjective,5
breathtaking,adjective,5
breath-taking,adjective,5
brilliant,adjective,5
dazzling,adjective,5
decadent,adjective,5
delicious,adjective,5
delightful,adjective,5
deluxe,adjective,5
divine,adjective,5
dreamlike,adjective,5
dreamy,adjective,5
ecstatic,adjective,5
excellent,adjective,5
exceptional,adjective,5
exciting,adjective,5
exclusive,adjective,5
extraordinary,adjective,5
fabulous,adjective,5
fantastic,adjective,5
feature-packed,adjective,5
five-diamond,adjective,5
five-star,adjective,5
flawless,adjective,5
full-service,adjective,5
glorious,adjective,5
gorgeous,adjective,5
heavenly,adjective,5
immaculate,adjective,5
impeccable,adjective,5
incredible,adjective,5
lake-view,adjective,5
magnificent,adjective,5
marvellous,adjective,5
marvelous,adjective,5
mouth-watering,adjective,5
orgasmic,adjective,5
oscar-worthy,adjective,5
outstanding,adjective,5
panoramic,adjective,5
perfect,adjective,5
piano-blessed,adjective,5
prestigious,adjective,5
rapturous,adjective,5
scrumptious,adjective,5
sensational,adjective,5
spectacular,adjective,5
super-luxury,adjective,5
terrific,adjective,5
unmatched,adjective,5
wonderful,adjective,5
wondrous,adjective,5
awestruck,adjective,5
wonderous,adjective,5
sublime,adjective,5
stupendous,adjective,5
peerless,adjective,5
euphoric,adjective,5
valiant,adjective,4
compelling,adjective,4
grand,adjective,4
great,adjective,4
hit-making,adjective,4
legendary,adjective,4
much-admired,adjective,4
poignant,adjective,4
pristine,adjective,4
absorbing,adjective,4
admirable,adjective,4
all-you-can-eat,adjective,4
altruistic,adjective,4
beautiful,adjective,4
beloved,adjective,4
benevolent,adjective,4
better-feeling,adjective,4
better-like,adjective,4
better-than-before,adjective,4
brand-new,adjective,4
brand-spankin,adjective,4
brand-spankin'-new,adjective,4
charming,adjective,4
consummate,adjective,4
cool-looking,adjective,4
darker-and-funnier-than-expected,adjective,4
desirable,adjective,4
elegant,adjective,4
enchanting,adjective,4
endearing,adjective,4
engaging,adjective,4
engrossing,adjective,4
enjoyable,adjective,4
enlightened,adjective,4
enthralling,adjective,4
enthusiastic,adjective,4
enviable,adjective,4
exotic,adjective,4
exuberant,adjective,4
fast-cooking,adjective,4
favorite,adjective,4
finest,adjective,4
fine-dining,adjective,4
first-class,adjective,4
first-rate,adjective,4
fortunate,adjective,4
friendly,adjective,4
fun-filled,adjective,4
fun-to-drive,adjective,4
handsome,adjective,4
happy,adjective,4
hilarious,adjective,4
holy,adjective,4
ideal,adjective,4
idyllic,adjective,4
impressive,adjective,4
in-demand,adjective,4
ingenious,adjective,4
innovative,adjective,4
intelligent,adjective,4
international-gourmet,adjective,4
jam-packed,adjective,4
jaw-dropping,adjective,4
joyous,adjective,4
jubilant,adjective,4
king-size,adjective,4
king-sized,adjective,4
lavish,adjective,4
lovable,adjective,4
lucious,adjective,4
luminous,adjective,4
luscious,adjective,4
luxurious,adjective,4
magical,adjective,4
masterful,adjective,4
mesmerizing,adjective,4
miraculous,adjective,4
must-have,adjective,4
near-perfect,adjective,4
optimum,adjective,4
oscar-winning,adjective,4
pampered,adjective,4
peaceful,adjective,4
pleasant,adjective,4
pleasing,adjective,4
portable,adjective,4
profound,adjective,4
radiant,adjective,4
rechargeable,adjective,4
refined,adjective,4
refreshing,adjective,4
regal,adjective,4
remarkable,adjective,4
removable,adjective,4
ritz-carlton,adjective,4
scenic,adjective,4
sexy,adjective,4
spacious,adjective,4
splendid,adjective,4
spotless,adjective,4
stellar,adjective,4
streamlined,adjective,4
stream-lined,adjective,4
stunning,adjective,4
stylish,adjective,4
superb,adjective,4
superior,adjective,4
supreme,adjective,4
ultra-compact,adjective,4
unforgettable,adjective,4
up-and-coming,adjective,4
upbeat,adjective,4
upcoming,adjective,4
upgradable,adjective,4
upgradeable,adjective,4
well-acted,adjective,4
well-assembled,adjective,4
well-behaved,adjective,4
well-built,adjective,4
well-bundled,adjective,4
well-cropped,adjective,4
well-dampened,adjective,4
well-defined,adjective,4
well-developed,adjective,4
well-done,adjective,4
well-dressed,adjective,4
well-equipped,adjective,4
well-fitting,adjective,4
well-kept,adjective,4
well-made,adjective,4
well-muted,adjective,4
well-placed,adjective,4
well-produced,adjective,4
well-researched,adjective,4
well-trained,adjective,4
well-tuned,adjective,4
well-written,adjective,4
worthy,adjective,4
loveable,adjective,4
virtuoso,adjective,4
acclaimed,adjective,4
riveting,adjective,4
epic,adjective,4
vivacious,adjective,4
vibrant,adjective,4
resplendent,adjective,4
opulent,adjective,4
momentous,adjective,4
matchless,adjective,4
majestic,adjective,4
joyful,adjective,4
invulnerable,adjective,4
invaluable,adjective,4
inestimable,adjective,4
exemplary,adjective,4
eminent,adjective,4
