Part of Speech,Synset,Emotion
noun,n#05588321,wrath
noun,n#05576115,worship
noun,n#05600844,world-weariness
noun,n#05582577,wonder
noun,n#05600968,woe
noun,n#05579569,withdrawal
noun,n#05604301,weight
noun,n#05601315,weepiness
noun,n#05574157,weakness
noun,n#05611809,warpath
noun,n#05609617,warmheartedness
noun,n#05613522,vindictiveness
noun,n#05585811,unrest
noun,n#05576931,unfriendliness
noun,n#05579184,neutral-unconcern
noun,n#05593296,unassertiveness
noun,n#05588822,umbrage
noun,n#05586494,tumult
noun,n#05596663,triumph
noun,n#05592071,trepidation
noun,n#05587339,tranquillity
noun,n#05598269,togetherness
noun,n#05597153,titillation
noun,n#05592739,timidity
noun,n#05561094,thing
noun,n#05615833,tenderness
noun,n#05615127,sympathy
noun,n#05583536,positive-suspense
noun,n#05592642,negative-suspense
noun,n#05582875,surprise
noun,n#05612278,sulkiness
noun,n#05583004,stupefaction
noun,n#05586373,stir
noun,n#05586217,stewing
noun,n#05591681,stage-fright
noun,n#05602279,regret-sorrow
noun,n#05601413,lost-sorrow
noun,n#05578925,solicitude
noun,n#05579029,softheartedness
noun,n#05609172,soft-spot
noun,n#05599598,smugness
noun,n#05594594,sinking
noun,n#05592914,shyness
noun,n#05580828,shamefacedness
noun,n#05579963,shame
noun,n#05592428,shadow
noun,n#05586720,sensation
noun,n#05603809,self-pity
noun,n#05581613,self-esteem
noun,n#05580284,self-disgust
noun,n#05582260,self-depreciation
noun,n#05580651,self-consciousness
noun,n#05595349,security
noun,n#05594782,scruple
noun,n#05591591,scare
noun,n#05598965,satisfaction
noun,n#05606509,sanguinity
noun,n#05599930,sadness
noun,n#05591481,reverence
noun,n#05606995,resignation
noun,n#05611927,resentment
noun,n#05577970,repugnance
noun,n#05602852,repentance
noun,n#05597617,rejoicing
noun,n#05609011,regard
noun,n#05608223,puppy-love
noun,n#05608917,protectiveness
noun,n#05599226,satisfaction-pride
noun,n#05581430,joy-pride
noun,n#05592546,presage
noun,n#05573914,preference
noun,n#05602106,plaintiveness
noun,n#05587029,placidity
noun,n#05589637,pique
noun,n#05607505,pessimism
noun,n#05600734,pensiveness
noun,n#05587497,peace
noun,n#05591377,panic
noun,n#05606361,optimism
noun,n#05604181,oppression
noun,n#05578076,nausea
noun,n#05610694,murderousness
noun,n#05601957,mournfulness
noun,n#05610620,misopedia
noun,n#05610440,misoneism
noun,n#05610366,misology
noun,n#05610283,misogyny
noun,n#05610210,misogamy
noun,n#05610544,misocainea
noun,n#05601051,misery
noun,n#05610135,misanthropy
noun,n#05615937,mercifulness
noun,n#05600345,melancholy
noun,n#05582161,meekness
noun,n#05613388,malice
noun,n#05613127,malevolence
noun,n#05613291,maleficence
noun,n#05609709,loyalty
noun,n#05609517,lovingness
noun,n#05607724,love
noun,n#05588618,lividity
noun,n#05573285,liking
noun,n#05584043,levity
noun,n#05563906,neutral-languor
noun,n#05587782,positive-languor
noun,n#05615380,kindheartedness
noun,n#05603196,joylessness
noun,n#05596218,joy
noun,n#05614225,jollity
noun,n#05597701,jocundity
noun,n#05594897,jitteriness
noun,n#05612865,jealousy
noun,n#05577212,isolation
noun,n#05614716,irascibility
noun,n#05593389,fear-intimidation
noun,n#05607353,despair-intimidation
noun,n#05594325,insecurity
noun,n#05578483,ingratitude
noun,n#05588725,infuriation
noun,n#05588960,indignation
noun,n#05579322,indifference
noun,n#05586117,impatience
noun,n#05616407,identification
noun,n#05591290,hysteria
noun,n#05581967,humility
noun,n#05589074,huffiness
noun,n#05610898,hostility
noun,n#05591212,horror
noun,n#05606847,hopelessness
noun,n#05606155,hopefulness
noun,n#05605928,positive-hope
noun,n#05583906,ambiguous-hope
noun,n#05597503,hilarity
noun,n#05593183,hesitance
noun,n#05576222,hero-worship
noun,n#05603715,helplessness
noun,n#05600637,heavyheartedness
noun,n#05579669,heartlessness
noun,n#05612142,heartburning
noun,n#05609785,hate
noun,n#05590065,harassment
noun,n#05595732,happiness
noun,n#05569706,gusto
noun,n#05602697,guilt
noun,n#05612377,grudge
noun,n#05601776,grief
noun,n#05584266,gravity
noun,n#05578169,gratitude
noun,n#05578355,gratefulness
noun,n#05575210,good-will
noun,n#05600505,gloom
noun,n#05599822,gloat
noun,n#05596105,gladness
noun,n#05584176,levity-gaiety
noun,n#05597371,general-gaiety
noun,n#05588413,fury
noun,n#05599694,fulfillment
noun,n#05589778,frustration
noun,n#05591021,frisson
noun,n#05574913,friendliness
noun,n#05601181,forlornness
noun,n#05616059,forgiveness
noun,n#05592156,foreboding
noun,n#05573609,fondness
noun,n#10337658,fit
noun,n#05585895,fidget
noun,n#05583678,fever
noun,n#05595229,fearlessness
noun,n#05590260,negative-fear
noun,n#05575676,favor
noun,n#05596527,exultation
noun,n#05617136,exuberance
noun,n#05583266,ambiguous-expectation
noun,n#05596742,exhilaration
noun,n#05597250,euphoria
noun,n#05612539,envy
noun,n#05616611,enthusiasm
noun,n#05606270,encouragement
noun,n#05616285,empathy
noun,n#05563705,emotionlessness
noun,n#05580420,embarrassment
noun,n#05586574,electricity
noun,n#05596414,elation
noun,n#05581714,ego
noun,n#05594446,edginess
noun,n#05587663,easiness
noun,n#05584398,earnestness
noun,n#05616745,eagerness
